SKU_Seller,SKU_Falabella,Nombre,Marca,Modelo,Material,Color,Dimensiones,Peso,Tipo_instalacion,Garantia,Pais_origen,Acabado,Cod_universal,Condicion,N_fotos,Foto_1,Foto_2,Foto_3,Foto_4,Foto_5,Foto_6,Foto_7,Foto_8,Carpeta_fotos
030101005-T1,146924919,FLEXIBLE AGUA HE HI M10 1/2 50 CM,Trade,Flexible HE-HI M10 50cm,"Malla de acero inoxidable 304, tubo interior PVC",Plateado,"Largo: 50 cm (conexión M10 x 1/2"")",100 g,,Garantía legal 6 meses,China,,752853009197,Nuevo,4,030101005-T1_01.jpg,030101005-T1_02.jpg,030101005-T1_03.jpg,030101005-T1_04.jpg,,,,,falabella_fotos_listo/030101005-T1/
040501005-T1,143573861,Flexible Llave Profesional,Trade,Profesional,Acero inoxidable,Plateado,Ancho: 5 cm x Altura: 10 cm,1000 g,Ducha,Garantía legal 6 meses,China,Brillante,0123585319845,Nuevo,4,040501005-T1_01.jpg,040501005-T1_02.jpg,040501005-T1_03.jpg,040501005-T1_04.jpg,,,,,falabella_fotos_listo/040501005-T1/
010301011-T1,146702739,VALVULA DESCARGA DUAL FLUSH ESTANQUE TRADICIONAL,Trade,Válvula de Descarga Dual Flush para Estanque Tradi,ABS,Plateado,Diámetro: 62 mm,460 g,,Garantía legal 6 meses,China,,752853009036,Nuevo,4,010301011-T1_01.jpg,010301011-T1_02.jpg,010301011-T1_03.jpg,010301011-T1_04.jpg,,,,,falabella_fotos_listo/010301011-T1/
010301010-T1,146699566,VALVULA CARGA WC FLOTADOR,Trade,Taumm,Acero inoxidable,Plateado,Paquete 8 x 13 x 32 cm (largo x ancho x alto),200 g,,Garantía legal 6 meses,China,,8968398385500,Nuevo,4,010301010-T1_01.jpg,010301010-T1_02.jpg,010301010-T1_03.jpg,010301010-T1_04.jpg,,,,,falabella_fotos_listo/010301010-T1/
040302001-T1,146959317,VALVULA DESCARGA TEMPORIZADA URINARIO,Trade,Llave Temporizada Urinario sin Válvula de Corte,Latón normalizado cromado,Cromado,Paquete 11 x 18.2 x 5.8 cm (largo x ancho x alto),480 g,,Garantía legal 6 meses,China,,752853005557,Nuevo,6,040302001-T1_01.jpg,040302001-T1_02.jpg,040302001-T1_03.jpg,040302001-T1_04.jpg,040302001-T1_05.jpg,040302001-T1_06.jpg,,,falabella_fotos_listo/040302001-T1/
010701001-T1,143104744,Dispensador de Palanca,Trade,Dispensador de papel,Acero inoxidable,Blanco,Aprox. 34 x 24 x 24 cm (alto x ancho x prof.),1000 g,Mural,Garantía legal 6 meses,China,,5361471884205,Nuevo,7,010701001-T1_01.jpg,010701001-T1_02.jpg,010701001-T1_03.jpg,010701001-T1_04.jpg,010701001-T1_05.jpg,010701001-T1_06.jpg,010701001-T1_07.jpg,,falabella_fotos_listo/010701001-T1/
010403001-T1,146236900,SIFON URINARIO 1 1/4 METALICO,Trade,Sifón Metálico Botella Cromado Urinario 1 1/4 Tubo,Metálico,Plateado,Ancho: 25.4 cm x Altura: 4.6 cm,460 g,,Garantía legal 6 meses,China,Cromado,752853001672,Nuevo,4,010403001-T1_01.jpg,010403001-T1_02.jpg,010403001-T1_03.jpg,010403001-T1_04.jpg,,,,,falabella_fotos_listo/010403001-T1/
010205001-T1,146697576,SIFON LAVATORIO 1 1/4 CODO PLASTICO,Trade,Sifón Plástico Lavatorio,Plástico,Blanco,Ancho: 12.4 cm x Altura: 6.2 cm,140 g,,Garantía legal 6 meses,China,,752853011497,Nuevo,6,010205001-T1_01.jpg,010205001-T1_02.jpg,010205001-T1_03.jpg,010205001-T1_04.jpg,010205001-T1_05.jpg,010205001-T1_06.jpg,,,falabella_fotos_listo/010205001-T1/
020102001-T1,143564418,Lavaplatos Sobreponer 80x50 Inoxidable Derecho,Trade,80x50 Derecho,Acero inoxidable,Plateado,Largo: 80 cm x Ancho: 50 cm x Profundidad: 15 cm,3200 g,Sobrepuesta,Garantía legal 6 meses,China,Pulido fino,752853007797,Nuevo,4,020102001-T1_01.jpg,020102001-T1_02.jpg,020102001-T1_03.jpg,020102001-T1_04.jpg,,,,,falabella_fotos_listo/020102001-T1/
020101006-T1,143986699,Lavaplatos Empotrado Ancho 80x50x22 Cm Hannover,Trade,Hannover,Acero inoxidable,Plateado,Largo: 80 cm x Ancho: 50 cm x Profundidad: 22 cm,3000 g,Empotrable,Garantía legal 6 meses,China,,0570333401800,Nuevo,8,020101006-T1_01.jpg,020101006-T1_02.jpg,020101006-T1_03.jpg,020101006-T1_04.jpg,020101006-T1_05.jpg,020101006-T1_06.jpg,020101006-T1_07.jpg,020101006-T1_08.jpg,falabella_fotos_listo/020101006-T1/
040202006-T1,143984852,Monomando Lavatorio Domenica,Trade,Llave Monomando Lavatorio Domenica,Zamak cromado,Cromado,Paquete 13.4 x 21.6 x 5.4 cm (largo x ancho x alto),860 g,Sobre cubierta,Garantía legal 6 meses,China,,7528530090986,Nuevo,7,040202006-T1_01.jpg,040202006-T1_02.jpg,040202006-T1_03.jpg,040202006-T1_04.jpg,040202006-T1_05.jpg,040202006-T1_06.jpg,040202006-T1_07.jpg,,falabella_fotos_listo/040202006-T1/
