timestamp,fecha_planificada,sku,tipo,status,media_id,permalink_ig,error
2026-05-20T01:29:47.912588,2026-05-20,100501027-T,emocional,ok,18105998293763970,,
2026-05-20T11:36:04.662746,2026-05-21,100501026-T,emocional,error,,,"crear carrusel: HTTP 403: {""error"":{""message"":""(#200) Requires instagram_shopping_tag_products permission to manage the object"",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""ApJa0fWV1RdJT5q73oPHMVa""}}"
2026-05-20T11:37:11.135451,2026-05-21,100501026-T,emocional,ok,18101752964041808,,
2026-05-20T11:57:06.141680,2026-05-22,010703013-T,emocional,ok,18102231382839853,,
2026-05-20T12:07:36.601277,2026-05-23,010703002-T,emocional,ok,17902971057438794,,"upload child HTTP 403: {""error"":{""message"":""(#200) The permission(s) pages_manage_posts are not available. It could because either they are dep",
2026-05-20T12:25:50.617826,2026-05-24,040204002-T,emocional,error,,,"crear carrusel: HTTP 400: {""error"":{""message"":""Invalid parameter"",""type"":""OAuthException"",""code"":100,""error_subcode"":2207023,""is_transient"":false,""error_user_title"":""Tipo de contenido multimedia desconocido"",""error_user_msg"":""",
2026-05-20T12:31:57.048049,2026-05-24,040204002-T,emocional,ok,18105043186864987,18097912697278028,,1340666836072901_1015846171109072
2026-05-20T13:06:39.640000,2026-05-25,040202004-T,emocional,ok,18107914379311371,18216942751324716,,1340666836072901_1015869277773428
2026-05-20T13:07:56.523215,2026-05-26,010703008-T,emocional,ok,18083779469106467,18065197556405320,,1340666836072901_1015870301106659
2026-05-21T21:13:15.727999,2026-05-27,020101002-T,emocional,ok,18124271986713668,18050191850750341,,1340666836072901_1016945414332481
2026-05-22T19:00:47.974033,2026-05-28,020101001-T,emocional,ok,17943385893206180,17974669601878708,,1340666836072901_1017704434256579
2026-05-25T19:03:17.111951,2026-05-29,020101003-T,emocional,ok,17888247180519095,18406277461148201,,1340666836072901_1020192317341124
2026-05-26T19:01:28.301151,2026-05-30,040201009-T,emocional,ok,18467601031109540,18056161859706866,,1340666836072901_1021013403925682
2026-05-27T19:01:27.916644,2026-05-31,040204003-T,emocional,ok,18104699083816358,18392589793090007,,1340666836072901_1021877420505947
2026-05-28T19:01:01.619786,2026-06-01,040201008-T,emocional,ok,18126666988540649,18297414775303563,"feed HTTP 500: {""error"":{""code"":1,""message"":""Please reduce the amount of data you're asking for, then retry your request""}}",
2026-05-29T19:00:49.122316,2026-06-02,040202007-T,emocional,ok,18113026153675473,17889304830541458,,1340666836072901_1023630996997256
2026-05-31T16:01:36.388101,2026-06-03,040201007-T,emocional,ok,18105362494787650,18100017878116385,,1340666836072901_1025304916829864
2026-06-01T19:01:43.280917,2026-06-04,040301002-T,emocional,ok,18089781395187780,18103869397823804,,1340666836072901_1026315253395497
2026-06-02T19:00:47.879757,2026-06-05,040202006-T,emocional,ok,18126432619715877,17938571118055235,,1340666836072901_1027216753305347
2026-06-03T19:01:43.853724,2026-06-06,040203018-C,emocional,ok,18003481502944013,18103671680084325,"feed HTTP 500: {""error"":{""code"":1,""message"":""Please reduce the amount of data you're asking for, then retry your request""}}",
2026-06-04T19:01:06.495189,2026-06-07,040201005-T,emocional,ok,17942379750038976,18084728975435251,,1340666836072901_1029046903122332
2026-06-08T19:01:12.381272,2026-06-08,100501028-T,emocional,ok,18049821866601544,17899138707307750,,1340666836072901_1032643219429367
2026-06-09T19:01:10.965750,2026-06-09,100501025-T,emocional,ok,18119579524688164,18093868802212292,,1340666836072901_1033511006009255
2026-06-10T19:00:55.753610,2026-06-10,010703007-T,emocional,ok,18601634425009309,17975738801883119,,1340666836072901_1034387339254955
2026-06-11T19:05:02.184561,2026-06-11,010703014-T,emocional,ok,18083342453407128,18123522616709827,,1340666836072901_1035276515832704
2026-06-15T19:00:49.511156,2026-06-12,010704016-T,emocional,ok,18001143389946958,17914807170402167,,1340666836072901_1038717672155255
2026-06-16T19:01:12.360295,2026-06-13,040202002-T,emocional,ok,18090368801629345,18120367588666237,,1340666836072901_1039565085403847
2026-06-17T19:52:47.052545,2026-06-14,010201001-T,emocional,ok,18087462278108572,17874215790511174,,1340666836072901_1040421855318170
2026-06-18T19:01:13.577518,2026-06-15,040202003-T,emocional,ok,18104580461321019,17934361353296684,,1340666836072901_1041212068572482
2026-06-19T19:00:17.532799,2026-06-16,010704017-T,emocional,error,,,insuficientes children (0) para carrusel,
