codigo,familia,seccion,descripcion,pdf,familias_todas
010100001,Monomandos,Lavatorio,,01_Monomandos.pdf,Monomandos
010100002,Monomandos,Sistema de Anclaje con Lavatorio Alto,,01_Monomandos.pdf,Monomandos
010100101,Monomandos,Lavatorio,,01_Monomandos.pdf,Monomandos
010100102,Monomandos,Lavatorio Tina-Ducha,,01_Monomandos.pdf,Monomandos
010100201,Monomandos,Lavatorio Lavatorio Bidet,,01_Monomandos.pdf,Monomandos
010100301,Monomandos,Lavatorio Bidet,,01_Monomandos.pdf,Monomandos
010100302,Monomandos,Lavatorio Tina-Ducha,,01_Monomandos.pdf,Monomandos
010100401,Monomandos,Lavatorio Bidet,,01_Monomandos.pdf,Monomandos
010100601,Monomandos,Lavatorio Lavatorio Alto Bidet,,01_Monomandos.pdf,Monomandos
010100602,Monomandos,Lavatorio Lavatorio Alto Bidet,,01_Monomandos.pdf,Monomandos
010100607,Monomandos,Lavatorio Lavatorio Alto,,01_Monomandos.pdf,Monomandos
010100608,Monomandos,Lavatorio Lavatorio Alto,,01_Monomandos.pdf,Monomandos
010100801,Monomandos,Lavatorio Lavatorio Alto Ducha Empotrada,,01_Monomandos.pdf,Monomandos
010100802,Monomandos,Lavatorio Lavatorio Alto Ducha Empotrada,,01_Monomandos.pdf,Monomandos
010101002,Monomandos,Lavatorio Lavatorio Alto,,01_Monomandos.pdf,Monomandos
010101003,Monomandos,Lavatorio Lavatorio Alto,,01_Monomandos.pdf,Monomandos
010200201,Monomandos,Lavatorio Lavatorio Bidet,,01_Monomandos.pdf,Monomandos
010200301,Monomandos,Lavatorio Bidet,,01_Monomandos.pdf,Monomandos
010200401,Monomandos,Lavatorio Bidet,,01_Monomandos.pdf,Monomandos
010200601,Monomandos,Lavatorio Lavatorio Alto Bidet,,01_Monomandos.pdf,Monomandos
010300101,Monomandos,Tina-Ducha,,01_Monomandos.pdf,Monomandos
010300102,Monomandos,Lavatorio Tina-Ducha,,01_Monomandos.pdf,Monomandos
010300201,Monomandos,Tina-Ducha Ducha,,01_Monomandos.pdf,Monomandos
010300301,Monomandos,Tina-Ducha Ducha,,01_Monomandos.pdf,Monomandos
010300302,Monomandos,Lavatorio Tina-Ducha,,01_Monomandos.pdf,Monomandos
010300401,Monomandos,Tina-Ducha Ducha,,01_Monomandos.pdf,Monomandos
010300601,Monomandos,Tina-Ducha Ducha,,01_Monomandos.pdf,Monomandos
010300607,Monomandos,Tina-Ducha Ducha,,01_Monomandos.pdf,Monomandos
010301002,Monomandos,Tina-Ducha,,01_Monomandos.pdf,Monomandos
010400101,Monomandos,Ducha Lavaplato Vertical,,01_Monomandos.pdf,Monomandos
010400102,Monomandos,Ducha,,01_Monomandos.pdf,Monomandos
010400201,Monomandos,Tina-Ducha Ducha,,01_Monomandos.pdf,Monomandos
010400301,Monomandos,Tina-Ducha Ducha,,01_Monomandos.pdf,Monomandos
010400302,Monomandos,Ducha Lavaplato Vertical,,01_Monomandos.pdf,Monomandos
010400401,Monomandos,Tina-Ducha Ducha,,01_Monomandos.pdf,Monomandos
010400601,Monomandos,Tina-Ducha Ducha,,01_Monomandos.pdf,Monomandos
010400607,Monomandos,Tina-Ducha Ducha,,01_Monomandos.pdf,Monomandos
010401002,Monomandos,Ducha,,01_Monomandos.pdf,Monomandos
010500201,Monomandos,Lavaplato Horizontal Lavaplato Vertical,,01_Monomandos.pdf,Monomandos
010500301,Monomandos,Lavaplato Horizontal,Lavaplato Vertical,01_Monomandos.pdf,Monomandos
010500401,Monomandos,Lavaplato Horizontal,Lavaplato Vertical,01_Monomandos.pdf,Monomandos
010500601,Monomandos,Lavaplato Horizontal Lavaplato Vertical,,01_Monomandos.pdf,Monomandos
010600001,Monomandos,Ducha Empotrada Lavaplato Vertical,,01_Monomandos.pdf,Monomandos
010600101,Monomandos,Ducha Lavaplato Vertical,,01_Monomandos.pdf,Monomandos
010600102,Monomandos,Cuerpo: Zamak Cromado Lavaplato Vertical,,01_Monomandos.pdf,Monomandos
010600201,Monomandos,Lavaplato Horizontal Lavaplato Vertical,,01_Monomandos.pdf,Monomandos
010600301,Monomandos,Lavaplato Horizontal,,01_Monomandos.pdf,Monomandos
010600302,Monomandos,Ducha Lavaplato Vertical,,01_Monomandos.pdf,Monomandos
010600401,Monomandos,Lavaplato Horizontal,,01_Monomandos.pdf,Monomandos
010600601,Monomandos,Lavaplato Horizontal Lavaplato Vertical,,01_Monomandos.pdf,Monomandos
010600607,Monomandos,Lavaplato Vertical,,01_Monomandos.pdf,Monomandos
010600608,Monomandos,Lavaplato Extraíble,,01_Monomandos.pdf,Monomandos
010600801,Monomandos,Lavaplato Vertical,),01_Monomandos.pdf,Monomandos; Repuestos
010600802,Monomandos,Lavaplato Vertical Recto,,01_Monomandos.pdf,Monomandos
010600902,Monomandos,Negro Rojo Verde,,01_Monomandos.pdf,Monomandos
010600903,Monomandos,Negro Rojo Verde,,01_Monomandos.pdf,Monomandos
010600904,Monomandos,Negro Rojo Verde,,01_Monomandos.pdf,Monomandos
010601001,Monomandos,Lavaplato Profesional Sistema de Apriete,manual a Superﬁcie,01_Monomandos.pdf,Monomandos; Repuestos
010601002,Monomandos,Ducha Empotrada Lavaplato Vertical,,01_Monomandos.pdf,Monomandos
010601101,Monomandos,4 Chorros,,01_Monomandos.pdf,Monomandos
010700001,Monomandos,Ducha Empotrada Lavaplato Vertical,,01_Monomandos.pdf,Monomandos
010700801,Monomandos,Lavatorio Lavatorio Alto Ducha Empotrada,,01_Monomandos.pdf,Monomandos
